13
5
7.0000	26.0000	6.0000	60.0000	78.5000
1.0000	29.0000	15.0000	52.0000	74.3000
11.0000	56.0000	8.0000	20.0000	104.3000
11.0000	31.0000	8.0000	47.0000	87.6000
7.0000	52.0000	6.0000	33.0000	95.9000
11.0000	55.0000	9.0000	22.0000	109.2000
3.0000	71.0000	17.0000	6.0000	102.7000
1.0000	31.0000	22.0000	44.0000	72.5000
2.0000	54.0000	18.0000	22.0000	93.1000
21.0000	47.0000	4.0000	26.0000	115.9000
1.0000	40.0000	23.0000	34.0000	83.8000
11.0000	66.0000	9.0000	12.0000	113.3000
10.0000	68.0000	8.0000	12.0000	109.4000
